Rm 	Rp02	K_p	n_p	sig_f_p	b	eps_f_p	c
378	287	781	0.18	1159	-0.142	1.3	-0.649
490	472	561	0.18	1019	-0.124	1.45	-0.701
321	226	1208	0.26	888	-0.137	0.28	-0.505
356	234	834	0.2	878	-0.129	0.46	-0.536
323	245	1254	0.27	1024	-0.151	0.29	-0.509
359	267	626	0.17	776	-0.126	0.24	-0.466
363	252	1706	0.24	1225	-0.143	0.35	-0.522
399	273	958	0.22	1016	-0.136	0.21	-0.473
331	234	1443	0.318	1124	-0.172	0.46	-0.543
365	255	1234	0.29	1007	-0.159	0.5	-0.5402
331	200	867	0.244	499	-0.1	0.104	-0.408
414	228	945	0.213	884	-0.124	0.729	-0.581
441	262	1962	0.321	1384	-0.156	0.337	-0.485
393	255	1233	0.286	697	-0.116	0.136	-0.405
547	306	1042	0.207	934	-0.107	0.59	-0.52
641	443	865	0.14	2034	-0.172	3.67	-0.86
623	448	838	0.09	1491	-0.152	1.56	-0.729
759	637	915	0.131	1311	-0.103	0.848	-0.612
802	572	1371	0.15	1287	-0.092	0.316	-0.577
752	517	1022	0.152	916	-0.079	0.486	-0.52
1827	1689	3371	0.145	2661	-0.093	0.196	-0.643
2241	1862	3947	0.12	3294	-0.104	0.22	-0.868
718	424	1401	0.212	1439	-0.127	0.525	-0.522
942	620	1770	0.191	2906	-0.161	0.786	-0.579
1322	787	2066	0.165	3403	-0.151	0.458	-0.56
1516	865	3048	0.208	4385	-0.167	0.491	-0.491
2297	1636	3083	0.075	5813	-0.154	1.379	-1.082
1956	1729	3366	0.157	2636	-0.086	0.21	-0.551
1344	1275	1751	0.104	1785	-0.086	1.207	-0.825
1048	999	1089	0.076	1204	-0.063	3.709	-0.832
834	806	858	0.083	922	-0.063	2.377	-0.753
834	806	809	0.058	841	-0.043	1.928	-0.738
847	772	903	0.072	938	-0.057	1.689	-0.784
916	854	1026	0.075	1062	-0.059	1.575	-0.782
370	279	596	0.134	753	-0.103	0.222	-0.477
416	342	694	0.132	112	-0.117	0.94	-0.676
442	359	761	0.129	686	-0.074	0.337	-0.54
441	361	684	0.124	732	-0.09	1.384	-0.703
461	375	632	0.092	889	-0.055	0.345	-0.563
448	383	745	0.116	959	-0.102	3.189	-0.794
448	385	785	0.127	1988	-0.116	2.828	-0.79
479	403	1014	0.151	1000	-0.102	0.563	-0.622
492	417	1056	0.147	1218	-0.118	1.932	-0.771
474	428	694	0.11	1378	-0.143	3.091	-0.807
490	357	481	0.049	536	-0.047	4.118	-0.883
496	439	516	0.64	571	-0.057	2.046	-0.787
481	416	687	0.094	895	-0.091	0.967	-0.75
479	431	1029	0.143	1113	-0.109	0.754	-0.67
525	434	1152	0.163	1074	-0.105	0.429	-0.598
534	456	2234	0.161	913	-0.091	0.226	-0.552
533	459	792	0.103	744	-0.063	0.451	-0.598
558	466	876	0.106	976	-0.88	1.007	-0.705
501	424	531	0.068	572	-0.053	20.116	-0.81
570	505	937	0.101	1461	-0.123	6.052	-0.904
628	521	1251	0.173	1230	-0.104	4.202	-0.843
617	557	1125	0.122	1239	-0.108	1.053	-0.771
697	569	1287	0.118	1428	-0.105	1.816	-0.861
