x	y	om	eps	case
0.013966216	449.2175114	4	80	c2
0.023277027	271.7798518	4	80	c2
0.032587838	197.8152067	4	80	c2
0.037243243	185.1940937	4	80	c2
0.041898649	156.9325796	4	80	c2
0.051209459	130.7030585	4	80	c2
0.06052027	112.5207972	4	80	c2
0.069831081	98.94636128	4	80	c2
0.074486486	93.2187007	4	80	c2
0.079141892	88.38464474	4	80	c2
0.088452703	80.05255866	4	80	c2
0.097763514	73.08415162	4	80	c2
0.107074324	67.33901381	4	80	c2
0.11172973	64.78693968	4	80	c2
0.116385135	62.39520748	4	80	c2
0.125695946	58.14239945	4	80	c2
0.135006757	54.44681262	4	80	c2
0.148972973	49.75522986	4	80	c2
0.186216216	40.1356511	4	80	c2
0.223459459	33.9724511	4	80	c2
0.260702703	29.15862797	4	80	c2
0.297945946	25.51375641	4	80	c2
0.335189189	22.5654753	4	80	c2
0.353810811	21.33757779	4	80	c2
0.372432432	20.21254934	4	80	c2
0.391054054	19.25004699	4	80	c2
0.409675676	18.31037012	4	80	c2
0.417124324	17.90114346	4	80	c2
0.420848649	17.75928321	4	80	c2
0.429042162	17.23908658	4	80	c2
0.447663784	16.43221231	4	80	c2
0.484907027	15.09775651	4	80	c2
0.514701622	13.77309247	4	80	c2
0.533323243	13.28438654	4	80	c2
0.542634054	13.24787789	4	80	c2
0.018621622	373.65545	4	40	c1
0.037243243	191.9197241	4	40	c1
0.055864865	130.1425947	4	40	c1
0.074486486	98.94939041	4	40	c1
0.11172973	67.07804866	4	40	c1
0.148972973	50.69787655	4	40	c1
0.186216216	40.51641274	4	40	c1
0.223459459	33.76469601	4	40	c1
0.238356757	31.87591965	4	40	c1
0.290497297	26.02898125	4	40	c1
0.312843243	23.95737471	4	40	c1
0.335189189	22.28597542	4	40	c1
0.342637838	21.85275446	4	40	c1
0.3445	21.72574558	4	40	c1
0.346362162	21.71484488	4	40	c1
0.348224324	21.42136649	4	40	c1
0.350086486	21.37939155	4	40	c1
0.351948649	21.20425344	4	40	c1
0.353810811	21.05618975	4	40	c1
0.357535135	20.75693198	4	40	c1
0.011172973	608.3425059	3	40	c4
0.013966216	486.3357686	3	40	c4
0.041898649	166.9106203	3	40	c4
0.055864865	128.0585191	3	40	c4
0.069831081	104.1681459	3	40	c4
0.083797297	87.81572674	3	40	c4
0.097763514	76.0627205	3	40	c4
0.11172973	67.11066721	3	40	c4
0.125695946	60.0158295	3	40	c4
0.139662162	54.37818273	3	40	c4
0.153628378	49.68296123	3	40	c4
0.167594595	45.74588762	3	40	c4
0.159214865	48.60176307	3	40	c4
0.201113514	38.78559791	3	40	c4
0.229045946	33.85429808	3	40	c4
0.256978378	30.06582766	3	40	c4
0.273737838	28.61652999	3	40	c4
0.30167027	25.55288655	3	40	c4
0.315636486	24.45638722	3	40	c4
0.343568919	22.37150067	3	40	c4
0.346362162	22.35321034	3	40	c4
0.360328378	21.32958327	3	40	c4
0.374294595	20.62401188	3	40	c4
0.388260811	19.67604937	3	40	c4
0.402227027	18.81897982	3	40	c4
0.416193243	18.32103368	3	40	c4
0.430159459	17.40145333	3	40	c4
0.441332432	16.8697158	3	40	c4
0.444125676	16.64105175	3	40	c4
0.458091892	16.16360489	3	40	c4
0.472058108	15.60032945	3	40	c4
0.486024324	15.06719778	3	40	c4
0.488817568	15.14299462	3	40	c4
0.491610811	14.9999407	3	40	c4
0.494404054	14.90675516	3	40	c4
0.497197297	14.77036446	3	40	c4
0.499990541	14.66652522	3	40	c4
0.50837027	14.22328895	3	40	c4
0.511163514	14.14751945	3	40	c4
0.513956757	14.29240999	3	40	c4
0.51675	13.94905979	3	40	c4
0.519543243	13.88528418	3	40	c4
0.520939865	13.94901227	3	40	c4
0.011172973	562.2461472	3	60	c3
0.025139189	261.182356	3	60	c3
0.032122297	206.7222707	3	60	c3
0.101953378	70.49290477	3	60	c3
0.171784459	43.87790841	3	60	c3
0.241615541	31.86822794	3	60	c3
0.311446622	24.75182462	3	60	c3
0.325412838	23.93013841	3	60	c3
0.339379054	22.82335183	3	60	c3
0.35334527	21.90901084	3	60	c3
0.367311486	20.81668945	3	60	c3
0.381277703	20.64457027	3	60	c3
0.395243919	19.39329186	3	60	c3
0.402227027	19.10741325	3	60	c3
0.416193243	18.38851188	3	60	c3
0.430159459	17.67024044	3	60	c3
0.444125676	17.12080034	3	60	c3
0.458091892	16.46569404	3	60	c3
0.472058108	15.89328466	3	60	c3
0.479041216	15.63290815	3	60	c3
0.486024324	15.34264481	3	60	c3
0.499990541	14.78109679	3	60	c3
0.513956757	14.32457339	3	60	c3
0.527922973	13.8865715	3	60	c3
0.541889189	13.3721238	3	60	c3
0.555855405	13.0684994	3	60	c3
0.562838514	12.91853559	3	60	c3
0.569542297	12.70792662	3	60	c3
0.572614865	13.04467063	3	60	c3
0.575408108	12.60368562	3	60	c3
0.578201351	12.56640954	3	60	c3
0.585184459	12.26609604	3	60	c3
